,Title,Class,,,,,Count,Percentage
294,Exposed,2,,,,,,
295,Hellfire,8,,,,,,
296,Digital World,1,,,,,,
297,Goddess of the Rain,5,,,,,,
298,Spowoky Owoky Pumpkin,6,,,,,,
299,Awaken,4,,,,,,
300,"""F""",3,,,,,,
301,The Bloodthirster,5,,,,,,
302,Appasayo,1,,,,,,
303,Necessary Evil,3,,,,,,
304,Ragin' Ray and Jin,1,,,,,,
305,Drunk Arcade (Radio Edit),2,,,,,,
306,"Ultimate Battle - Ka Ka Kachi Daze (From ""Dragon Ball Super"")",5,,,,,,
307,Polar Opposite,7,,,,,,
308,Toxic Love,1,,,,,,
309,Deathfire Grasp,1,,,,,,
310,"You're an Ace, Kid",1,,,,,,
311,Playing With The Big Boys,3,,,,,,
312,Be Prepared - 2019 Version,8,,,,,,
313,Poor Unfortunate Souls,5,,,,,,
314,"Boku no Sensou (My War) [from ""Attack on Titan Season 4""]",4,,,,,,
315,Boku no Sensou - TV Size,5,,,,,,
316,The New Legends,9,,,,,,
317,Addict,5,,,,,,
318,Warriors,8,,,,,,
319,Room to Fall,1,,,,,,
320,Bells of Notre Dame,1,,,,,,
321,Bury the Light,0,,,,,,
322,Tear of the Goddess,1,,,,,,
323,Lightbringer,5,,,,,,
324,Mortal Reminder,8,,,,,,
325,VILLAIN,8,,,,,,
326,THE BADDEST,1,,,,,,
327,MORE,8,,,,,,
328,POP/STARS,5,,,,,,
329,Skeletons (with Bryce Fox),9,,,,,,
330,Killer,2,,,,,,
331,Dungeon Master,1,,,,,,
332,Through the Fire and Flames,8,,,,,,
333,Hootsforce,5,,,,,,
334,Everytime We Touch,3,,,,,,
335,From a Place of Love,7,,,,,,
336,"Red Like Roses - Part II (From ""RWBY"")",8,,,,,,
337,AMERICA,3,,,,,,
338,QUEEN OF THE FREAKS,8,,,,,,
339,Phantomcat of Meowloween,6,,,,,,
340,Inmate 4859,1,,,,,,
341,Resist and Bite,1,,,,,,
342,MONSTER,2,,,,,,
343,How to Be a Heartbreaker,9,,,,,,
344,Come With Me,9,,,,,,
345,This Little Girl,2,,,,,,
346,I Touch Myself,4,,,,,,
347,What the Hell,3,,,,,,
348,Liar,6,,,,,,
349,Fading Light,8,,,,,,
350,Tomorrow We Fight,8,,,,,,
351,Born Ready (Reimagined),8,,,,,,
352,"Cruel Angel's Thesis (From ""Neon Genesis Evangelion"")",2,,,,,,
353,Epoch - The Living Tombstone Remix,8,,,,,,
354,Supernova,2,,,,,,
355,Zenzenzense - English ver.,9,,,,,,
356,Sparkle - English ver.,5,,,,,,
357,Nandemonaiya - English ver.,5,,,,,,
358,Dream lantern - English ver.,3,,,,,,
359,Madness,1,,,,,,
360,Riot,3,,,,,,
361,(Do You Wanna Date My) Avatar (feat. Felicia Day),3,,,,,,
362,Army Of The Night,8,,,,,,
363,Demons Are A Girl's Best Friend,8,,,,,,
364,We Drink Your Blood,8,,,,,,
365,Bad Apple!! - English Remaster,4,,,,,,
366,Sanctified with Dynamite,8,,,,,,
367,Bismarck,2,,,,,,
368,Take Over,1,,,,,,
369,I'm Blinded by the Lights,2,,,,,,
370,JOJO SONO CHINO SADAME,1,,,,,,
371,JoJo Pose,3,,,,,,
372,Nightmares & Flare Guns,2,,,,,,
373,Only One King,3,,,,,,
374,Lies,2,,,,,,
375,Monster,5,,,,,,
376,Big Bad Wolf,8,,,,,,
377,Demons,3,,,,,,
378,Whatever It Takes,1,,,,,,
379,Twisted,3,,,,,,
380,BLAME IT ON THE KIDS,2,,,,,,
381,Anti-Gravity,8,,,,,,
382,Rule the World,3,,,,,,
383,Battlefield,6,,,,,,
384,Freaks Like Us,5,,,,,,
385,"Daddy! Daddy! Do! (from ""Kaguya-Sama: Love is War"")",1,,,,,,
